Measurement Index,Survey Tool Type,Survery Depth (ft),Inclination (deg),Azimuth (deg),Direction,Course Length (ft),True Vertical Depth (ft),Vertical Section,N (ft),W,Distance (ft),Angle (deg),Dogleg Severity (d/100),Build Rate (d/100,Walk Rate (d/100)
1,Gyro ,0,0,,,0,100,,0,0,0,,,,
2,Gyro ,5687,2.84,259.94,S 79.9 W,0,5686.6,-22.99,5.54,-39.3,,,0.049938283,0.049938282,-1.759445366
3,MWD ,5704,2.59,262.10,S 82.1 W,17,5703.58,-23.24,5.41,-40.10,40.46,-82.31,1.59,-1.47,12.71
4,MWD ,5738,2.22,216.11,S 36.1 W,34,5737.55,-23.20,4.78,-41.24,41.52,-83.39,5.62,-1.09,-135.26
5,MWD ,5769,4.67,174.04,S 6.0 E,31,5768.50,-21.76,3.04,-41.47,41.58,-85.81,10.86,7.90,-135.71
6,MWD ,5800,7.29,162.65,S 17.4 E,31,5799.33,-18.65,-0.10,-40.75,40.75,89.86,9.24,8.45,-36.74
7,MWD ,5832,9.12,155.49,S 24.5 E,32,5831.00,-14.11,-4.34,-39.09,39.33,83.66,6.54,5.72,-22.37
8,MWD ,5863,11.65,149.86,S 30.1 E,31,5861.49,-8.53,-9.29,-36.50,37.66,75.73,8.78,8.16,-18.16
9,MWD ,5894,13.27,148.36,S 31.6 E,31,5891.76,-1.86,-15.02,-33.06,36.32,65.56,5.33,5.23,-4.84
10,MWD ,5929,15.18,149.01,S 31.0 E,35,5925.69,6.72,-22.37,-28.60,36.31,51.96,5.48,5.46,1.86
11,MWD ,5960,17.50,149.89,S 30.1 E,31,5955.43,15.43,-29.88,-24.17,38.43,38.96,7.53,7.48,2.84
12,MWD ,5989,20.14,150.36,S 29.6 E,29,5982.88,24.77,-38.00,-19.51,42.71,27.18,9.12,9.10,1.62
13,MWD ,6024,23.19,149.84,S 30.2 E,35,6015.40,37.68,-49.19,-13.07,50.90,14.87,8.73,8.71,-1.49
14,MWD ,6055,25.67,149.31,S 30.7 E,31,6043.63,50.48,-60.25,-6.57,60.61,6.22,8.03,8.00,-1.71
15,MWD ,6085,27.76,149.00,S 31.0 E,30,6070.42,63.94,-71.83,0.34,71.83,-0.27,6.98,6.97,-1.03
16,MWD ,6128,31.98,148.78,S 31.2 E,43,6107.70,85.31,-90.16,11.41,90.87,-7.21,9.82,9.81,-0.51
17,MWD ,6180,37.01,149.60,S 30.4 E,52,6150.54,114.70,-115.45,26.48,118.44,-12.92,9.71,9.67,1.58
18,MWD ,6226,41.55,150.02,S 30.0 E,46,6186.14,143.78,-140.62,41.11,146.50,-16.30,9.89,9.87,0.91
19,MWD ,6274,45.62,150.17,S 29.8 E,48,6220.90,176.83,-169.30,57.61,178.83,-18.79,8.48,8.48,0.31
20,MWD ,6317,49.16,150.10,S 29.9 E,43,6250.01,208.44,-196.74,73.36,209.97,-20.45,8.23,8.23,-0.16
21,MWD ,6371,55.14,149.06,S 30.9 E,54,6283.13,251.00,-233.48,94.96,252.05,-22.13,11.18,11.07,-1.93
22,MWD ,6416,59.78,148.17,S 31.8 E,45,6307.33,288.83,-265.85,114.71,289.55,-23.34,10.44,10.31,-1.98
23,MWD ,6464,64.53,147.87,S 32.1 E,48,6329.74,331.12,-301.84,137.19,331.56,-24.44,9.91,9.90,-0.62
24,MWD ,6509,68.65,148.22,S 31.8 E,45,6347.62,372.28,-336.87,159.04,372.53,-25.27,9.18,9.16,0.78
25,MWD ,6558,73.31,147.97,S 32.0 E,49,6363.58,418.44,-376.19,183.52,418.56,-26.00,9.52,9.51,-0.51
26,MWD ,6604,77.54,147.55,S 32.5 E,46,6375.15,462.79,-413.83,207.26,462.83,-26.60,9.24,9.20,-0.91
27,MWD ,6653,82.35,147.82,S 32.2 E,49,6383.71,510.85,-454.60,233.04,510.85,-27.14,9.83,9.82,0.55
28,MWD ,6700,87.01,148.72,S 31.3 E,47,6388.06,557.50,-494.39,257.65,557.50,-27.53,10.10,9.91,1.91
29,MWD ,6748,89.14,148.96,S 31.0 E,48,6389.68,605.36,-535.44,282.47,605.38,-27.81,4.47,4.44,0.50
30,MWD ,6841,89.32,147.33,S 32.7 E,93,6390.93,698.06,-614.42,331.55,698.17,-28.35,1.76,0.19,-1.75
31,MWD ,6936,89.32,151.50,S 28.5 E,95,6392.05,792.89,-696.18,379.87,793.08,-28.62,4.39,0.00,4.39
32,MWD ,7031,89.20,150.01,S 30.0 E,95,6393.28,887.83,-779.06,426.28,888.06,-28.69,1.57,-0.13,-1.57
33,MWD ,7126,89.20,148.09,S 31.9 E,95,6394.61,982.63,-860.53,475.13,982.98,-28.90,2.02,0.00,-2.02
34,MWD ,7221,89.11,147.73,S 32.3 E,95,6396.01,1077.29,-941.00,525.59,1077.84,-29.19,0.39,-0.09,-0.38
35,MWD ,7315,90.09,146.47,S 33.5 E,94,6396.66,1170.85,-1019.92,576.64,1171.65,-29.48,1.70,1.04,-1.34
36,MWD ,7410,89.97,148.52,S 31.5 E,95,6396.62,1265.47,-1100.04,627.69,1266.52,-29.71,2.16,-0.13,2.16
37,MWD ,7504,89.97,151.86,S 28.1 E,94,6396.66,1359.37,-1181.59,674.42,1360.51,-29.72,3.55,0.00,3.55
38,MWD ,7597,90.03,152.93,S 27.1 E,93,6396.66,1452.36,-1264.00,717.51,1453.45,-29.58,1.15,0.06,1.15
39,MWD ,7692,90.03,152.67,S 27.3 E,95,6396.61,1547.36,-1348.49,760.93,1548.37,-29.44,0.27,0.00,-0.27
40,MWD ,7785,89.94,156.03,S 24.0 E,93,6396.64,1640.31,-1432.32,801.18,1641.17,-29.22,3.61,-0.10,3.61
41,MWD ,7880,89.85,155.55,S 24.5 E,95,6396.81,1735.16,-1518.96,840.14,1735.82,-28.95,0.51,-0.09,-0.51
42,MWD ,7975,89.88,156.02,S 24.0 E,95,6397.04,1830.02,-1605.60,879.11,1830.51,-28.70,0.50,0.03,0.49
43,MWD ,8070,89.78,156.15,S 23.9 E,95,6397.32,1924.85,-1692.44,917.62,1925.20,-28.47,0.17,-0.11,0.14
44,MWD ,8164,89.85,155.88,S 24.1 E,94,6397.62,2018.68,-1778.33,955.83,2018.92,-28.26,0.30,0.07,-0.29
45,MWD ,8258,89.82,157.31,S 22.7 E,94,6397.89,2112.45,-1864.59,993.17,2112.60,-28.04,1.52,-0.03,1.52
46,MWD ,8351,89.88,155.38,S 24.6 E,93,6398.14,2205.25,-1949.77,1030.48,2205.33,-27.86,2.08,0.06,-2.08
47,MWD ,8447,91.17,153.11,S 26.9 E,96,6397.26,2301.20,-2036.22,1072.19,2301.26,-27.77,2.72,1.34,-2.36
48,MWD ,8539,89.72,153.34,S 26.7 E,92,6396.54,2393.19,-2118.35,1113.63,2393.24,-27.73,1.60,-1.58,0.25
49,MWD ,8632,89.66,153.49,S 26.5 E,93,6397.05,2486.18,-2201.52,1155.25,2486.22,-27.69,0.17,-0.06,0.16
50,MWD ,8729,89.69,151.60,S 28.4 E,97,6397.60,2583.18,-2287.59,1199.97,2583.21,-27.68,1.95,0.03,-1.95
51,MWD ,8824,89.66,153.12,S 26.9 E,95,6398.13,2678.17,-2371.75,1244.04,2678.21,-27.68,1.60,-0.03,1.60
52,MWD ,8918,89.63,151.44,S 28.6 E,94,6398.72,2772.16,-2454.95,1287.76,2772.21,-27.68,1.79,-0.03,-1.79
53,MWD ,9014,89.82,151.07,S 28.9 E,96,6399.18,2868.14,-2539.12,1333.93,2868.19,-27.72,0.43,0.20,-0.39
54,MWD ,9108,89.75,150.83,S 29.2 E,94,6399.53,2962.09,-2621.30,1379.57,2962.16,-27.76,0.27,-0.07,-0.26
55,MWD ,9202,89.82,150.36,S 29.6 E,94,6399.88,3056.03,-2703.18,1425.72,3056.12,-27.81,0.51,0.07,-0.50
56,MWD ,9297,89.82,151.80,S 28.2 E,95,6400.18,3151.00,-2786.34,1471.66,3151.10,-27.84,1.52,0.00,1.52
57,MWD ,9393,89.75,153.28,S 26.7 E,96,6400.54,3246.99,-2871.52,1515.93,3247.10,-27.83,1.54,-0.07,1.54
58,MWD ,9487,89.88,155.00,S 25.0 E,94,6400.85,3340.96,-2956.10,1556.93,3341.04,-27.78,1.83,0.14,1.83
59,MWD ,9580,89.72,157.31,S 22.7 E,93,6401.17,3433.77,-3041.15,1594.52,3433.82,-27.67,2.49,-0.17,2.48
60,MWD ,9676,89.60,159.84,S 20.2 E,96,6401.74,3529.25,-3130.51,1629.59,3529.26,-27.50,2.64,-0.12,2.64
61,MWD ,9770,89.63,156.64,S 23.4 E,94,6402.37,3622.78,-3217.80,1664.43,3622.78,-27.35,3.40,0.03,-3.40
62,MWD ,9865,89.69,155.24,S 24.8 E,95,6402.94,3717.62,-3304.54,1703.16,3717.63,-27.27,1.48,0.06,-1.47
63,MWD ,9959,89.66,152.72,S 27.3 E,94,6403.47,3811.59,-3389.01,1744.39,3811.60,-27.24,2.68,-0.03,-2.68
64,MWD ,10054,89.69,152.50,S 27.5 E,95,6404.01,3906.58,-3473.36,1788.09,3906.59,-27.24,0.23,0.03,-0.23
65,MWD ,10144,89.69,151.01,S 29.0 E,90,6404.49,3996.57,-3552.64,1830.68,3996.58,-27.26,1.66,0.00,-1.66
66,MWD ,10240,89.72,149.97,S 30.0 E,96,6404.99,4092.50,-3636.18,1877.97,4092.50,-27.31,1.08,0.03,-1.08
67,MWD ,10335,89.75,150.53,S 29.5 E,95,6405.43,4187.42,-3718.66,1925.11,4187.42,-27.37,0.59,0.03,0.59
68,MWD ,10430,89.78,150.70,S 29.3 E,95,6405.82,4282.36,-3801.43,1971.72,4282.36,-27.41,0.18,0.03,0.18
69,MWD ,10524,89.82,152.67,S 27.3 E,94,6406.15,4376.34,-3884.18,2016.31,4376.34,-27.43,2.10,0.04,2.10
70,MWD ,10618,89.63,154.67,S 25.3 E,94,6406.60,4470.32,-3968.43,2058.00,4470.32,-27.41,2.14,-0.20,2.13
71,MWD ,10712,89.66,150.32,S 29.7 E,94,6407.18,4564.29,-4051.78,2101.40,4564.29,-27.41,4.63,0.03,-4.63
72,MWD ,10806,89.75,150.10,S 29.9 E,94,6407.66,4658.21,-4133.36,2148.10,4658.21,-27.46,0.25,0.10,-0.23
73,MWD ,10901,89.82,150.33,S 29.7 E,95,6408.02,4753.12,-4215.81,2195.29,4753.14,-27.51,0.25,0.07,0.24
74,MWD ,10996,89.57,150.11,S 29.9 E,95,6408.53,4848.04,-4298.26,2242.47,4848.06,-27.55,0.35,-0.26,-0.23
75,MWD ,11091,89.88,149.93,S 30.1 E,95,6408.98,4942.94,-4380.55,2289.94,4942.98,-27.60,0.38,0.33,-0.19
76,MWD ,11186,89.82,150.99,S 29.0 E,95,6409.23,5037.87,-4463.20,2336.78,5037.92,-27.64,1.12,-0.06,1.12
77,MWD ,11281,89.75,152.53,S 27.5 E,95,6409.59,5132.85,-4546.89,2381.73,5132.91,-27.65,1.62,-0.07,1.62
78,MWD ,11376,89.85,152.46,S 27.5 E,95,6409.92,5227.85,-4631.15,2425.60,5227.91,-27.64,0.13,0.11,-0.07
79,MWD ,11472,89.75,155.51,S 24.5 E,96,6410.25,5323.81,-4717.41,2467.70,5323.86,-27.61,3.18,-0.10,3.18
80,MWD ,11566,89.75,155.90,S 24.1 E,94,6410.66,5417.68,-4803.08,2506.38,5417.71,-27.56,0.41,0.00,0.41
81,MWD ,11662,89.75,155.01,S 25.0 E,96,6411.08,5513.56,-4890.41,2546.25,5513.57,-27.50,0.93,0.00,-0.93
82,MWD ,11757,89.66,153.23,S 26.8 E,95,6411.57,5608.52,-4975.88,2587.72,5608.53,-27.48,1.88,-0.09,-1.87
83,MWD ,11852,89.82,151.58,S 28.4 E,95,6412.00,5703.52,-5060.06,2631.72,5703.53,-27.48,1.74,0.17,-1.74
84,MWD ,11945,89.75,151.30,S 28.7 E,93,6412.35,5796.50,-5141.75,2676.18,5796.51,-27.50,0.31,-0.08,-0.30
85,MWD ,12041,89.78,152.34,S 27.7 E,96,6412.75,5892.48,-5226.37,2721.52,5892.50,-27.51,1.08,0.03,1.08
86,MWD ,12135,89.75,152.84,S 27.2 E,94,6413.13,5986.48,-5309.81,2764.79,5986.50,-27.51,0.53,-0.03,0.53
87,MWD ,12230,89.75,151.52,S 28.5 E,95,6413.55,6081.48,-5393.83,2809.13,6081.50,-27.51,1.39,0.00,-1.39
88,MWD ,12325,89.82,151.27,S 28.7 E,95,6413.90,6176.45,-5477.23,2854.61,6176.48,-27.53,0.27,0.07,-0.26
89,MWD ,12423,89.72,152.01,S 28.0 E,98,6414.30,6274.44,-5563.47,2901.16,6274.47,-27.54,0.76,-0.10,0.76
90,MWD ,12515,89.78,151.84,S 28.2 E,92,6414.70,6366.43,-5644.64,2944.46,6366.46,-27.55,0.20,0.07,-0.18
91,MWD ,12612,89.69,152.33,S 27.7 E,97,6415.15,6463.42,-5730.36,2989.87,6463.46,-27.55,0.51,-0.09,0.51
92,MWD ,12705,89.72,153.56,S 26.4 E,93,6415.63,6556.42,-5813.18,3032.17,6556.45,-27.55,1.32,0.03,1.32
93,MWD ,12799,89.69,153.94,S 26.1 E,94,6416.11,6650.40,-5897.48,3073.74,6650.43,-27.53,0.41,-0.03,0.40
94,MWD ,12894,89.78,152.94,S 27.1 E,95,6416.55,6745.39,-5982.45,3116.22,6745.41,-27.51,1.06,0.09,-1.05
95,MWD ,12988,89.72,153.17,S 26.8 E,94,6416.96,6839.39,-6066.25,3158.81,6839.40,-27.51,0.25,-0.06,0.24
96,MWD ,13082,89.72,152.27,S 27.7 E,94,6417.42,6933.38,-6149.79,3201.89,6933.40,-27.50,0.96,0.00,-0.96
97,MWD ,13177,89.66,154.01,S 26.0 E,95,6417.93,7028.37,-6234.54,3244.81,7028.39,-27.50,1.83,-0.06,1.83
98,MWD ,13272,89.78,149.74,S 30.3 E,95,6418.40,7123.34,-6318.30,3289.59,7123.36,-27.50,4.50,0.13,-4.49
99,MWD ,13366,89.69,150.00,S 30.0 E,94,6418.83,7217.23,-6399.60,3336.77,7217.26,-27.54,0.29,-0.10,0.28
100,MWD ,13454,89.72,153.37,S 26.6 E,88,6419.28,7305.21,-6477.06,3378.50,7305.24,-27.55,3.83,0.03,3.83
101,MWD ,13546,89.75,151.90,S 28.1 E,92,6419.71,7397.20,-6558.76,3420.79,7397.24,-27.54,1.60,0.03,-1.60
102,MWD ,13635,89.75,153.64,S 26.4 E,89,6420.10,7486.20,-6637.89,3461.51,7486.23,-27.54,1.96,0.00,1.96
103,MWD ,13727,89.75,154.48,S 25.5 E,92,6420.50,7578.17,-6720.62,3501.75,7578.20,-27.52,0.91,0.00,0.91
104,MWD ,13812,89.69,153.62,S 26.4 E,85,6420.92,7663.14,-6797.05,3538.95,7663.16,-27.50,1.01,-0.07,-1.01
105,MWD ,13899,89.75,152.36,S 27.6 E,87,6421.34,7750.14,-6874.56,3578.46,7750.16,-27.50,1.45,0.07,-1.45
106,MWD ,13986,89.63,152.48,S 27.5 E,87,6421.81,7837.13,-6951.67,3618.74,7837.15,-27.50,0.20,-0.14,0.14
107,MWD ,14073,89.72,151.93,S 28.1 E,87,6422.30,7924.13,-7028.63,3659.31,7924.15,-27.50,0.64,0.10,-0.63
108,MWD ,14116,89.91,152.74,S 27.3 E,43,6422.44,7967.13,-7066.72,3679.27,7967.15,-27.50,1.93,0.44,1.88
